post_name , post_start_date , post_end_date , post_place , post_address , post_description , post_image_src
Οι Apocalyptica Παίζουν Metallica By Four Cellos στο Fix Factory of Sound,2019-11-01,2019-11-01,Fix Factory of Sound,26ης Οκτωβρίου 15, Θεσσαλονίκη,Οι Apocalyptica έρχονται από τη Φινλανδία με τέσσερα τσέλο και παίζουν Metallica (Plays Metallica by Four Cellos) έχοντας γράψει κυριολεκτικά ιστορία στην παγκόσμια μουσική σκηνή αφού δημιούργησαν ένα ιδιαίτερο ξεχωριστό και μοναδικό μουσικό είδος που θα μοιραστούν μαζί μας στο Fix Factory of...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/10/apocalyptika-360x202.jpg
ΚΟΘ «Πλανήτες» μια Συναυλία για Όλη την Οικογένεια στο Μέγαρο Μουσικής Θεσσαλονίκης,2019-11-01,2019-11-01,Μέγαρο Μουσικής Θεσσαλονίκης,25ης Μαρτίου και Παραλία, Θεσσαλονίκη,Η ΚΟΘ σε συνεργασία με το Φεστιβάλ Κινηματογράφου Θεσσαλονίκης και τον ΟΜΜΘ διοργανώνουν μια συναυλία για όλη την οικογένεια με τίτλο «Πλανήτες» όπως και η συμφωνική σουίτα του Χολστ την Παρασκευή 1 Νοεμβρίου 2019 στην Αίθουσα Φίλων Μουσικής Μ1. Η εκδήλωση θα πλαισιωθεί...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/08/planites-koth-360x202.jpg
Ο Μίλτος Πασχαλίδης επιστρέφει στο Block 33,2019-11-01,2019-11-02,Block 33,26ης Οκτωβρίου 33, Θεσσαλονίκη,Ο παλιός γνώριμος Μίλτος Πασχαλίδης επιστρέφει στο Block 33 στη Θεσσαλονίκη για να χαρίσει στους φίλους του δύο παραστάσεις την Παρασκευή 1 και το Σάββατο 2 Νοεμβρίου 2019 ξεχωριστές αλλιώτικες μέσα από τα απρόβλεπτα μονοπάτια της μουσικής του. Στο πρόγραμμα του αγαπημένου καλλιτέχνη...,https://thessaloniki.b-cdn.net/wp-content/uploads/2016/10/miltos-pasxalidis-thessaloniki-360x202.jpg
Ο Μίλτος Πασχαλίδης επιστρέφει στο Block 33,2019-11-01,2019-11-02,Block 33,26ης Οκτωβρίου 33, Θεσσαλονίκη,Ο παλιός γνώριμος Μίλτος Πασχαλίδης επιστρέφει στο Block 33 στη Θεσσαλονίκη για να χαρίσει στους φίλους του δύο παραστάσεις την Παρασκευή 1 και το Σάββατο 2 Νοεμβρίου 2019 ξεχωριστές αλλιώτικες μέσα από τα απρόβλεπτα μονοπάτια της μουσικής του. Στο πρόγραμμα του αγαπημένου καλλιτέχνη...,https://thessaloniki.b-cdn.net/wp-content/uploads/2016/10/miltos-pasxalidis-thessaloniki-360x202.jpg
Δωρεάν Συναυλία Μουσικής Δωματίου στο Αρχαιολογικό Μουσείο Θεσσαλονίκης,2019-11-02,2019-11-02,Αρχαιολογικό Μουσείο Θεσσαλονίκης,Μανόλη Ανδρόνικου 6, Θεσσαλονίκη,Ο Σύνδεσμος των Φίλων Αρχαιολογικού Μουσείου Θεσσαλονίκης υποδέχεται τον τελευταίο μήνα του Φθινοπώρου και διοργανώνει μια συναυλία μουσικής δωματίου στο Φουαγιέ του Αρχαιολογικού Μουσείου Θεσσαλονίκης το Σάββατο 2 Νοεμβρίου 2019 με ελεύθερη είσοδο για το κοινό. Η συναυλία μουσικής δωματίου για κλαρινέτο και...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/10/klarineto-k-piano-360x202.jpg
Ο Γιώργος Νταλάρας Τραγουδάει Αφιλοκερδώς για το Μ.Α.Ζ.Ι. στο Μέγαρο Μουσικής Θεσσαλονίκης,2019-11-04,2019-11-04,Μέγαρο Μουσικής Θεσσαλονίκης,25ης Μαρτίου και Παραλία, Θεσσαλονίκη,Ο καταξιωμένος καλλιτέχνης Γιώργος Νταλάρας τραγουδάει αφιλοκερδώς στο Μέγαρο Μουσικής Θεσσαλονίκης στη διοργάνωση που επιμελείται η αστική εταιρεία μη κερδοσκοπικού χαρακτήρα «Μ.Α.Ζ.Ι. – Με Αλληλεγγύη Ζούμε Ισότιμα» την Δευτέρα 4 Νοεμβρίου 2019 για να βραβεύσει το ίδρυμα Σταύρος Νιάρχος. Η βραδιά είναι μια...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/10/iorgos-ntalaras-360x202.jpg
ΚΟΘ «Θέα από τον Όλυμπο» του Τζον Ψαθάς στο Μέγαρο Μουσικής Θεσσαλονίκης,2019-11-08,2019-11-08,Μέγαρο Μουσικής Θεσσαλονίκης,25ης Μαρτίου και Παραλία, Θεσσαλονίκη,Το βραβευμένο έργο «Θέα από τον Όλυμπο» του σύγχρονου Έλληνα συνθέτη Τζον Ψαθάς θα παρουσιάσει η ΚΟΘ στο Μέγαρο Μουσικής Θεσσαλονίκης την Παρασκευή 8 Νοεμβρίου 2019 καθώς και δύο έργα του Shostakovich που περιλαμβάνονται στο πρόγραμμα της βραδιάς. O Τζον Ψαθάς θεωρείται ένας...,https://thessaloniki.b-cdn.net/wp-content/uploads/2017/02/kratiki-orxistra-thessalonikis-360x190.jpg
O Λεωνίδας Μπαλάφας στο Principal Club Theater,2019-11-08,2019-11-08,Principal Club Theater,26ης Οκτωβρίου 15 , Θεσσαλονίκη,Μια μοναδική βραδιά με τον Λεωνίδα Μπαλάφα θα έχουμε την ευκαιρία να ζήσουμε στο Principal Club Theater στη Θεσσαλονίκη το Σάββατο 8 Νοεμβρίου 2019 με παλιά και νέα τραγούδια του από την δισκογραφική του πορεία. Καλώς ν’ανταμωθούμε! Λίγα λόγια για τον Λεωνίδα Μπαλάφα:...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/10/balafas-leonidas-360x202.jpg
Μπλε & Georges Perin live στο Μύλος Club,2019-11-08,2019-11-08,Μύλος Club,Αν. Γεωργίου 56, Θεσσαλονίκη,Η μουσική και τα τραγούδια των Μπλέ -χωρίς άλλες συστάσεις- θα ακούγονται στο club του Μύλου την Παρασκευή 8 Νοεμβρίου 2019 με μια guest εμφάνιση από τον Georges Perin τον γνωστό soul funk performer για ένα μόνο βράδυ. Οι ΜΠΛΕ με τον δικό...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/02/ble-thessaloniki-2019-360x202.jpg
Γιώργος Περρής Ένας Traveller στο Μέγαρο Μουσικής Θεσσαλονίκης,2019-11-08,2019-11-08,Μέγαρο Μουσικής Θεσσαλονίκης,25ης Μαρτίου και Παραλία, Θεσσαλονίκη,Ένα ακόμη μαγικό μουσικό ταξίδι με την παράσταση Traveller μας υπόσχεται ο Γιώργος Περρής για την εμφάνισή του στο Μέγαρο Μουσικής Θεσσαλονίκης την Παρασκευή 8 Νοεμβρίου 2019 υπό την καλλιτεχνική επιμέλεια της Λίνας Νικολακοπούλου. Από την πρώτη στιγμή της καριέρας του ο Γιώργος...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/10/giorgos-perris-megaro-360x202.gif
